id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,adpLevelA,adpLevelA_agreement,adpLevelA_n_sources,adpLevelB,adpLevelB_agreement,adpLevelB_n_sources,adpLevelC,adpLevelC_agreement,adpLevelC_n_sources,adpLevelD,adpLevelD_agreement,adpLevelD_n_sources,adpTotal,adpTotal_agreement,adpTotal_n_sources,agreement,agreement_agreement,agreement_n_sources,authorizingAuthority,authorizingAuthority_agreement,authorizingAuthority_n_sources,avgLengthOfStayDays,avgLengthOfStayDays_agreement,avgLengthOfStayDays_n_sources,capacity,capacity_agreement,capacity_n_sources,circuit,circuit_agreement,circuit_n_sources,county,county_agreement,county_n_sources,docket,docket_agreement,docket_n_sources,facilityFunction,facilityFunction_agreement,facilityFunction_n_sources,femaleCrim,femaleCrim_agreement,femaleCrim_n_sources,femaleNonCrim,femaleNonCrim_agreement,femaleNonCrim_n_sources,fieldOffice,fieldOffice_agreement,fieldOffice_n_sources,firstUsed,firstUsed_agreement,firstUsed_n_sources,genderServed,genderServed_agreement,genderServed_n_sources,guaranteedMinimumBeds,guaranteedMinimumBeds_agreement,guaranteedMinimumBeds_n_sources,holdsOver72h,holdsOver72h_agreement,holdsOver72h_n_sources,iceThreatLevel1,iceThreatLevel1_agreement,iceThreatLevel1_n_sources,iceThreatLevel2,iceThreatLevel2_agreement,iceThreatLevel2_n_sources,iceThreatLevel3,iceThreatLevel3_agreement,iceThreatLevel3_n_sources,immigrationCourt,immigrationCourt_agreement,immigrationCourt_n_sources,lastFinalRating,lastFinalRating_agreement,lastFinalRating_n_sources,lastInspectionEndDate,lastInspectionEndDate_agreement,lastInspectionEndDate_n_sources,lastInspectionStandard,lastInspectionStandard_agreement,lastInspectionStandard_n_sources,lastInspectionType,lastInspectionType_agreement,lastInspectionType_n_sources,lastUsed,lastUsed_agreement,lastUsed_n_sources,maleCrim,maleCrim_agreement,maleCrim_n_sources,maleNonCrim,maleNonCrim_agreement,maleNonCrim_n_sources,mandatory,mandatory_agreement,mandatory_n_sources,noIceThreatLevel,noIceThreatLevel_agreement,noIceThreatLevel_n_sources,phone,phone_agreement,phone_n_sources,underDetentionStandards,underDetentionStandards_agreement,underDetentionStandards_n_sources
BEXARTX,detention,BEXAR COUNTY JAIL,single,48029,"Bexar County, TX",TX,"C/O JAIL ADMINISTRATOR, SAN ANTONIO, TX 78207",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,,,,5,single,1,BEXAR,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,10/22/1983,single,1,,,,,,,,,,,,,,,,,,,San Antonio Immigration Court (co-located — same ZIP),single,1,,,,,,,,,,,,,10/22/2007,single,1,,,,,,,,,,,,,,,,yes,single,1
BEXJUTX,detention,BEXAR COUNTY JUVENILE,single,48041,"Brazos County, TX",TX,"600 MISSION ROAD, SAN ANTONIO, TX 77803",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,,,,5,single,1,BRAZOS,single,1,SNA,single,1,JUVENILE,single,1,,,,,,,SNA,single,1,2/2/1999,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/30/2007,single,1,,,,,,,,,,,,,,,,no,single,1
BFGHITX,detention,BYRD'S FOSTER GROUP HOME INC,single,48201,"Harris County, TX",TX,"5708 HARDY ST, HOUSTON, TX 77009",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,,,,5,single,1,HARRIS,single,1,,,,JUVENILE,single,1,,,,,,,HOU,single,1,2/17/2016,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,2/17/2016,single,1,,,,,,,,,,,,,,,,no,single,1
biweekly-dilley-immigration-processing-center,detention,DILLEY IMMIGRATION PROCESSING CENTER,single,48163|48283,"Frio County, TX|La Salle County, TX",TX,"300 EL RANCHO WAY, DILLEY, TX 78017",single,1,550.7,single,1,13.8,single,1,1.9,single,1,0.5,single,1,566.9,single,1,FAMILY,single,1,,,,32,single,1,,,,,,,,,,,,,,,,3.6,single,1,353.9,single,1,SNA,single,1,,,,Female/Male,single,1,2000,single,1,,,,0.8,single,1,1.7,single,1,5.9,single,1,,,,Pass,single,1,Scheduled FY26,single,1,FRS,single,1,ODO,single,1,,,,1.9,single,1,207.5,single,1,299.2,single,1,558.4,single,1,,,,,,
biweekly-dilley-processing-single-adult-female,detention,DILLEY PROCESSING SINGLE ADULT FEMALE,single,48163|48283,"Frio County, TX|La Salle County, TX",TX,"300 EL RANCHO WAY, DILLEY, TX 78017",single,1,189,single,1,33.2,single,1,0.5,single,1,0,single,1,222.7,single,1,DIGSA,single,1,,,,67.8,single,1,,,,,,,,,,,,,,,,5.1,single,1,217.5,single,1,SNA,single,1,,,,Female,single,1,400,single,1,,,,1.6,single,1,4.3,single,1,6.4,single,1,,,,,,,Scheduled FY26,single,1,,,,,,,,,,0,single,1,0,single,1,74.9,single,1,210.4,single,1,,,,,,
biweekly-webb-county-detention-center-cca,detention,WEBB COUNTY DETENTION CENTER (CCA),single,48479,"Webb County, TX",TX,"9998 SOUTH HIGHWAY 83, LAREDO, TX 78041",single,1,311,single,1,18.9,single,1,40.6,single,1,51.4,single,1,421.9,single,1,DIGSA,single,1,,,,64.5,single,1,,,,,,,,,,,,,,,,1.5,single,1,5,single,1,HLG,single,1,,,,Female/Male,single,1,250,single,1,,,,23.2,single,1,16.1,single,1,27,single,1,,,,Pass,single,1,2026-02-05,single,1,PBNDS 2011 - 2016 Revisions,single,1,ODO,single,1,,,,48.6,single,1,366.8,single,1,265.6,single,1,355.6,single,1,,,,,,
BLANCTX,detention,BLANCO COUNTY JAIL,single,48031|48209,"Blanco County, TX|Hays County, TX",TX,"C/O COUNTY SHERIFF, JOHNSON CITY, TX 78636",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BLANCO,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,5/16/2006,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2007,single,1,,,,,,,,,,,,,,,,yes,single,1
BLBNATX,detention,BLUEBONNET DETENTION FACILITY,conflict,48253,"Jones County, TX",TX,"400 2ND STREET, ANSON, TX 79501",converged,3,592.1,single,1,120.6,single,1,195.2,single,1,103.4,single,1,1011.3,single,1,DIGSA,conflict,2,,,,19.4,single,1,,,,5,single,1,Jones,single,1,,,,,,,7.4,single,1,137.6,single,1,DAL,converged,3,,,,Female/Male,single,1,750,converged,2,no,single,1,121.6,single,1,82.6,single,1,112,single,1,,,,Pass,single,1,2024-12-12,single,1,PBNDS 2011 - 2016 Revisions,single,1,ODO,single,1,,,,216.8,single,1,649.5,single,1,597.4,single,1,695.1,single,1,(325) 823-8031,single,1,,,
BOEHOLD,detention,EL PASO BOEING DR HOLDROOM,single,48141,"El Paso County, TX",TX,"6451 BOEING DRIVE, EL PASO, TX 79925",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,EL PASO,single,1,EPC,single,1,HOLD,single,1,,,,,,,ELP,single,1,7/10/2014,single,1,,,,,,,no,single,1,,,,,,,,,,El Paso SPC Immigration Court (co-located — same ZIP),single,1,,,,,,,,,,,,,7/3/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
BOPBAS,detention,BASTROP FEDERAL CORRECTIONAL INSTITUTE,single,48021,"Bastrop County, TX",TX,"P.O. BOX 730, BASTROP, TX 78602",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,BASTROP,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,5/19/1983,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/9/2007,single,1,,,,,,,,,,,,,,,,no,single,1
BOPBIG,detention,BIG SPRING FEDERAL CORRECTIONAL INSTITUTE,single,48173|48227|48317,"Howard County, TX|Glasscock County, TX|Martin County, TX",TX,"1900 SIMLER, BIG SPRING, TX 79720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,HOWARD,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,5/6/1996,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/25/2007,single,1,,,,,,,,,,,,,,,,no,single,1
BOPBMA,detention,BEAUMONT FEDERAL CORRECTIONAL INSTITUTE,single,48245,"Jefferson County, TX",TX,"P.O. BOX 26015, BEAUMONT, TX 77720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,JEFFERSON,single,1,HOU,single,1,,,,,,,,,,HOU,single,1,3/5/1999,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/22/2004,single,1,,,,,,,,,,,,,,,,no,single,1
BOPBML,detention,BEAUMONT LOW SECURITY FEDERAL CORRECTIONAL CENTER,single,48245,"Jefferson County, TX",TX,"4550 HEBERT RD. PO BOX 26025, BEAUMONT, TX 77720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,JEFFERSON,single,1,HOU,single,1,,,,,,,,,,HOU,single,1,10/21/1999,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2005,single,1,,,,,,,,,,,,,,,,no,single,1
BOPBMM,detention,BEAUMONT MEDIUM SECURITY FEDERAL CORRECTIONAL CENT,single,48245,"Jefferson County, TX",TX,"4550 HEBERT RD. PO BOX 26045, BEAUMONT, TX 77720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,JEFFERSON,single,1,HOU,single,1,,,,,,,,,,HOU,single,1,11/6/1997,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/16/2006,single,1,,,,,,,,,,,,,,,,no,single,1
BOPBMP,detention,BEAUMONT FEDERAL,single,48245,"Jefferson County, TX",TX,"4550 HEBERT RD. PO BOX 26035, BEAUMONT, TX 77720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,JEFFERSON,single,1,HOU,single,1,,,,,,,,,,HOU,single,1,1/24/1995,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/13/2008,single,1,,,,,,,,,,,,,,,,no,single,1
BOPCRW,detention,CARSWELL FEDERAL MEDICAL CENTER,single,48439,"Tarrant County, TX",TX,"J STREET BUIDING 300, FORT WORTH, TX 76127",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,TARRANT,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,5/9/1998,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/18/2006,single,1,,,,,,,,,,,,,,,,no,single,1
BOPDAL,detention,DALBY CORRECTIONAL INSTITUTE,single,48033|48107|48169|48305,"Garza County, TX|Lynn County, TX|Crosby County, TX|Borden County, TX",TX,"805 NORTH AVENUE F, POST, TX 79356",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,GARZA,single,1,,,,,,,,,,,,,DAL,single,1,3/23/2017,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/20/2017,single,1,,,,,,,,,,,,,,,,no,single,1
BOPFTW,detention,FORT WORTH FEDERAL MEDICAL CENTER,single,,,TX,"3150 HORTON RD, FT. WORTH, TX 76619",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,TARRANT,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,8/25/1989,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/7/2005,single,1,,,,,,,,,,,,,,,,no,single,1
BOPLTL,detention,"LA TUNA FEDERAL SATTELITE, LOW",single,48141,"El Paso County, TX",TX,"Old Ironsides Drive, Building 11636, El Paso, TX 79906",single,1,,,,,,,,,,,,,,,,Other,single,1,,,,,,,,,,5,single,1,El Paso,single,1,,,,BOP,single,1,,,,,,,ELP,single,1,,,,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOPSEA,detention,SEAGOVILLE FEDERAL CORRECTIONAL INSTITUTE,single,48113|48257,"Dallas County, TX|Kaufman County, TX",TX,"2113 N. HIGHWAY 75, SEAGOVILLE, TX 75159",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,DALLAS,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,2/13/1986,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2005,single,1,,,,,,,,,,,,,,,,no,single,1
BOPTEX,detention,TEXARKANA FEDERAL CORRECTIONAL INSTITUTE,single,48037,"Bowie County, TX",TX,"PO BOX 9500, TEXARKANA, TX 75505",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,BOWIE,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,10/22/1980,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/11/2005,single,1,,,,,,,,,,,,,,,,no,single,1
BOPTRV,detention,THREE RIVERS FEDERAL CORRECTIONAL INSTITUTE,single,48025|48297,"Live Oak County, TX|Bee County, TX",TX,"P.O. BOX 4000, THREE RIVERS, TX 78071",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,LIVE OAK,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,2/21/1990,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8/2012,single,1,,,,,,,,,,,,,,,,no,single,1
BOWCOTX,detention,BOWIE COUNTY JAIL,single,48201,"Harris County, TX",TX,"100 N. STATE LINE, TEXARKANA, TX 77501",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,HARRIS,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,3/28/2007,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,10/5/2008,single,1,,,,,,,,,,,,,,,,yes,single,1
BRAZITX,detention,BRAZORIA COUNTY DETENTION,single,48039,"Brazoria County, TX",TX,"3602 COUNTY ROAD 45, ANGELTON, TX 77515",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BRAZORIA,single,1,HOU,single,1,,,,,,,,,,HOU,single,1,6/5/1998,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/24/2004,single,1,,,,,,,,,,,,,,,,yes,single,1
BRAZOTX,detention,BRAZOS COUNTY JAIL,single,48041,"Brazos County, TX",TX,"300 E 26TH ST # 105, BRYAN, TX 77801",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BRAZOS,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,12/3/1998,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,1/21/2003,single,1,,,,,,,,,,,,,,,,yes,single,1
BREWSTX,detention,BREWSTER COUNTY JAIL,single,48043,"Brewster County, TX",TX,"307 WEST SUL ROSS AVENUE, ALPINE, TX 79830",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BREWSTER,single,1,EPC,single,1,,,,,,,,,,ELP,single,1,7/7/2008,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,7/7/2008,single,1,,,,,,,,,,,,,,,,yes,single,1
BRIJUTX,detention,THE BRIDGE (YOUTH ALTERNATIVE),single,48029,"Bexar County, TX",TX,"3103 WEST AVENUE, SAN ANTONIO, TX 78213",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,,,,5,single,1,BEXAR,single,1,SNA,single,1,JUVENILE,single,1,,,,,,,SNA,single,1,1/19/1999,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/14/2004,single,1,,,,,,,,,,,,,,,,no,single,1
BROKSTX,detention,BROOKS COUNTY DETENTION CENTER,single,48047|48249,"Brooks County, TX|Jim Wells County, TX",TX,"901 COUNTY ROAD 201, FALFURRIAS, TX 78355",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,200,single,1,5,single,1,BROOKS,single,1,PIC,single,1,,,,,,,,,,SNA,single,1,7/3/2005,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
BROOKTX,detention,BROOKS COUNTY JAIL (SHERIFF),single,48047|48249,"Brooks County, TX|Jim Wells County, TX",TX,"801 COUNTY ROAD 201, FALFURRIAS, TX 78355",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BROOKS,single,1,PIC,single,1,,,,,,,,,,SNA,single,1,3/9/2006,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,6/14/2007,single,1,,,,,,,,,,,,,,,,yes,single,1
BSCDRTX,detention,BSCC CEDAR HILL UNIT,single,48173|48227|48317,"Howard County, TX|Glasscock County, TX|Martin County, TX",TX,"3711 WRIGHT AVENUE, BIG SPRING, TX 79720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,HOWARD,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,8/28/2006,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/2/2011,single,1,,,,,,,,,,,,,,,,no,single,1
BSCHOLD,detention,BIG SPRING HOLD ROOM,single,48173|48227|48317,"Howard County, TX|Glasscock County, TX|Martin County, TX",TX,"1701 APRON DRIVE, BIG SPRING, TX 79720",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,HOWARD,single,1,DAL,single,1,HOLD,single,1,,,,,,,DAL,single,1,3/8/2013,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,3/23/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
BSCORTX,detention,BSCC AIRPARK UNIT,single,48173|48227|48317,"Howard County, TX|Glasscock County, TX|Martin County, TX",TX,"3700 WRIGHT AVENUE, BIG SPRING, TX 79720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,HOWARD,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,4/11/1991,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/11/2012,single,1,,,,,,,,,,,,,,,,no,single,1
BSFLTTX,detention,BSCC FLIGHTLINE UNIT,single,48173|48227|48317,"Howard County, TX|Glasscock County, TX|Martin County, TX",TX,"2001 RICKABAUGH DR, BIG SPRING, TX 79720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,HOWARD,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,7/27/2006,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/2/2011,single,1,,,,,,,,,,,,,,,,no,single,1
BSGDFTX,detention,BSCC GILES DARBY FACILITY,single,48033|48107|48169|48305,"Garza County, TX|Lynn County, TX|Crosby County, TX|Borden County, TX",TX,"805 N. AVENUE F, POST, TX 79356",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,GARZA,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,5/15/2006,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/2/2011,single,1,,,,,,,,,,,,,,,,no,single,1
BSNTRTX,detention,BSCC INTERSTATE UNIT,single,48173|48227|48317,"Howard County, TX|Glasscock County, TX|Martin County, TX",TX,"1801 W. I-20, BIG SPRING, TX 79720",single,1,,,,,,,,,,,,,,,,BOP,single,1,BOP,single,1,,,,,,,5,single,1,HOWARD,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,1/13/2004,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8/2007,single,1,,,,,,,,,,,,,,,,no,single,1
BURNETX,detention,BURNET COUNTY JAIL,single,48053|48299,"Burnet County, TX|Llano County, TX",TX,"JAIL ADMINISTRATOR, BURNET, TX 78611",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BURNET,single,1,AUS,single,1,,,,,,,,,,SNA,single,1,5/28/1998,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
