id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,adpLevelA,adpLevelA_agreement,adpLevelA_n_sources,adpLevelB,adpLevelB_agreement,adpLevelB_n_sources,adpLevelC,adpLevelC_agreement,adpLevelC_n_sources,adpLevelD,adpLevelD_agreement,adpLevelD_n_sources,adpTotal,adpTotal_agreement,adpTotal_n_sources,agreement,agreement_agreement,agreement_n_sources,authorizingAuthority,authorizingAuthority_agreement,authorizingAuthority_n_sources,avgLengthOfStayDays,avgLengthOfStayDays_agreement,avgLengthOfStayDays_n_sources,capacity,capacity_agreement,capacity_n_sources,circuit,circuit_agreement,circuit_n_sources,county,county_agreement,county_n_sources,docket,docket_agreement,docket_n_sources,facilityFunction,facilityFunction_agreement,facilityFunction_n_sources,femaleCrim,femaleCrim_agreement,femaleCrim_n_sources,femaleNonCrim,femaleNonCrim_agreement,femaleNonCrim_n_sources,fieldOffice,fieldOffice_agreement,fieldOffice_n_sources,firstUsed,firstUsed_agreement,firstUsed_n_sources,genderServed,genderServed_agreement,genderServed_n_sources,guaranteedMinimumBeds,guaranteedMinimumBeds_agreement,guaranteedMinimumBeds_n_sources,holdsOver72h,holdsOver72h_agreement,holdsOver72h_n_sources,iceThreatLevel1,iceThreatLevel1_agreement,iceThreatLevel1_n_sources,iceThreatLevel2,iceThreatLevel2_agreement,iceThreatLevel2_n_sources,iceThreatLevel3,iceThreatLevel3_agreement,iceThreatLevel3_n_sources,immigrationCourt,immigrationCourt_agreement,immigrationCourt_n_sources,lastFinalRating,lastFinalRating_agreement,lastFinalRating_n_sources,lastInspectionEndDate,lastInspectionEndDate_agreement,lastInspectionEndDate_n_sources,lastInspectionStandard,lastInspectionStandard_agreement,lastInspectionStandard_n_sources,lastInspectionType,lastInspectionType_agreement,lastInspectionType_n_sources,lastUsed,lastUsed_agreement,lastUsed_n_sources,maleCrim,maleCrim_agreement,maleCrim_n_sources,maleNonCrim,maleNonCrim_agreement,maleNonCrim_n_sources,mandatory,mandatory_agreement,mandatory_n_sources,noIceThreatLevel,noIceThreatLevel_agreement,noIceThreatLevel_n_sources,phone,phone_agreement,phone_n_sources,underDetentionStandards,underDetentionStandards_agreement,underDetentionStandards_n_sources
ADDCOVT,detention,ADDISON COUNTY JAIL,single,50001,"Addison County, VT",VT,"35 COURT STREET, MIDDLEBURY, VT 05753",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,2,single,1,ADDISON,single,1,BOS,single,1,,,,,,,,,,BOS,single,1,2/9/2004,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/30/2012,single,1,,,,,,,,,,,,,,,,yes,single,1
ADLNTCA,detention,ADELANTO ICE PROCESSING CENTER,converged,06037|06071,"San Bernardino County, CA|Los Angeles County, CA",CA,"10250 RANCHO ROAD, ADELANTO, CA 92301",conflict,3,613.4,single,1,178.5,single,1,399.5,single,1,494.9,single,1,1686.3,single,1,CDF,conflict,2,DMCP,single,1,51.9,single,1,1940,single,1,9,single,1,SAN BERNARDINO,single,1,LOS,single,1,DIGSA,single,1,28.7,single,1,232.9,single,1,LOS,converged,3,8/29/2011,single,1,Male,single,1,640,conflict,2,yes,single,1,506.9,single,1,179.6,single,1,143.7,single,1,Adelanto Immigration Court (co-located — same ZIP),single,1,Pass,single,1,2025-09-18,single,1,PBNDS 2011 - 2016 Revisions,single,1,ODO,single,1,11/4/2017,single,1,624.1,single,1,800.7,single,1,848.1,single,1,856.1,single,1,(760) 561-6100,single,1,yes,single,1
AFRC,detention,ARTESIA FAMILY RESIDENTIAL CENTER,single,35015,"Eddy County, NM",NM,"1300 W. RICHEY AVENUE, ARTESIA, NM 88210",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,648,single,1,10,single,1,COUNTY,single,1,EPC,single,1,FAMILY,single,1,,,,,,,ELP,single,1,6/27/2014,single,1,,,,700,single,1,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,12/17/2014,single,1,,,,,,,,,,,,,,,,no,single,1
AGAHOLD,detention,AGANA HOLD,single,66010,"Guam, GU",GU,"108 HERNAN CORTEZ AV, HAGATNA, GU 96910",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,9,single,1,GUAM,single,1,AGA,single,1,HOLD,single,1,,,,,,,SFR,single,1,3/24/2002,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/14/2016,single,1,,,,,,,,,,,,,,,,yes,single,1
AGC,detention,AGUADILLA,single,72005|72099,"Aguadilla Municipio, PR|Moca Municipio, PR",PR,"505 CORNER BELT AND GUN ST., AGUADILLA, PR 00603",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,65,single,1,1,single,1,AGUADILLA,single,1,SAJ,single,1,HOLD,single,1,,,,,,,MIA,single,1,2/7/1987,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,8/5/2013,single,1,,,,,,,,,,,,,,,,yes,single,1
AGMDCCA,detention,ANAHEIM GLOBAL MEDICAL CENTER,single,06059,"Orange County, CA",CA,"1025 S ANAHEIM BLVD, ANAHEIM, CA 92805",single,1,,,,,,,,,,,,,,,,Other,single,1,OTHER,single,1,,,,,,,9,single,1,ORANGE,single,1,,,,HOSPITAL,single,1,,,,,,,LOS,single,1,7/14/2015,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,no,single,1
AIRHOPR,detention,AIRPORT HOTEL (SAN JUAN),single,72127,"San Juan Municipio, PR",PR,"LUIS MUNOZ MARIN INTR AIRPORT, ISLA VERDE, PR 00913",single,1,,,,,,,,,,,,,,,,Other,single,1,OTHER,single,1,,,,,,,1,single,1,CAROLINA,single,1,SAJ,single,1,,,,,,,,,,MIA,single,1,10/24/1990,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/18/2017,single,1,,,,,,,,,,,,,,,,no,single,1
AKCCANC,detention,STATE CORRECTIONAL CENTER,single,02020,"Anchorage Municipality, AK",AK,"625 C STREET, ANCHORAGE, AK 99501",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,ANCHORAGE,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,1/24/1991,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/19/2008,single,1,,,,,,,,,,,,,,,,yes,single,1
AKCOOKI,detention,COOK INLET PRETRIAL (ANCHORAGE),single,02020,"Anchorage Municipality, AK",AK,"1300 E 4TH AVENUE, ANCHORAGE, AK 99501",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,ANCHORAGE,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,2/4/1991,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/25/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
AKFAIRB,detention,FAIRBANKS CORRECTIONAL CENTER,single,02090,"Fairbanks North Star Borough, AK",AK,"1931 EAGAN STREET, FAIRBANKS, AK 99701",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,FAIRBANKS NORTH STAR,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,2/24/1994,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,3/15/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
AKHIGHL,detention,HILAND MOUNTAIN CORRECTIONAL CENTER,single,02020,"Anchorage Municipality, AK",AK,"9101 HESTERBERG ROAD, EAGLE RIVER, AK 99577",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,,,,9,single,1,ANCHORAGE,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,12/17/1992,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,3/13/2014,single,1,,,,,,,,,,,,,,,,yes,single,1
AKKETCH,detention,KETCHIKAN REGIONAL CC,single,02130,"Ketchikan Gateway Borough, AK",AK,"1201 SCHOENBAR ROAD, KETCHIKAN, AK 99901",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,PRINCE OF WALES -OUTER KETCHIKAN,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,7/27/1991,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,1/7/2016,single,1,,,,,,,,,,,,,,,,yes,single,1
AKLEMON,detention,LEMON CREEK,single,02110,"Juneau City and Borough, AK",AK,"2000 LEMON CREEK ROAD, JUNEAU, AK 99801",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,,,,9,single,1,JUNEAU,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,10/17/1991,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,12/4/2016,single,1,,,,,,,,,,,,,,,,yes,single,1
AKMATSU,detention,MAT-SU PRETRIAL,single,02170,"Matanuska-Susitna Borough, AK",AK,"339 E. DOGWOOD, PALMER, AK 99645",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,MATANUSKA SUSITNA,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,11/27/1992,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,10/28/2008,single,1,,,,,,,,,,,,,,,,yes,single,1
AKMCYOU,detention,MCLAUGHLIN YOUTH CENTER,single,02020,"Anchorage Municipality, AK",AK,"2600 PROVIDENCE DR, ANCHORAGE, AK 99508",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,,,,9,single,1,ANCHORAGE,single,1,ANC,single,1,JUVENILE,single,1,,,,,,,SEA,single,1,5/4/1998,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2010,single,1,,,,,,,,,,,,,,,,no,single,1
AKPALMC,detention,PALMER CORRECTIONAL CENTER,single,02170,"Matanuska-Susitna Borough, AK",AK,"MILE 58 GLENN HIGHWAY, PALMER, AK 99645",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,PALMER,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,9/11/1994,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/8/2014,single,1,,,,,,,,,,,,,,,,yes,single,1
AKPSYNJ,detention,ANNE KLEIN PSYCHIATRIC INSTITUTE,single,34021,"Mercer County, NJ",NJ,"SULLIVAN WAY, W. TRENTON, NJ 08628",single,1,,,,,,,,,,,,,,,,Other,single,1,OTHER,single,1,,,,,,,3,single,1,MERCER,single,1,VRK,single,1,HOSPITAL,single,1,,,,,,,NEW,single,1,5/20/2005,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/19/2007,single,1,,,,,,,,,,,,,,,,no,single,1
AKWILCC,detention,WILDWOOD STATE CORRECTIONAL CENTER,single,02122,"Kenai Peninsula Borough, AK",AK,"#10 CHUGACH AVENUE, KENAI, AK 99611",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,KENAI PENINSULA,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,1/31/1994,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/4/2014,single,1,,,,,,,,,,,,,,,,yes,single,1
AKWILPT,detention,WILDWOOD PRETRIAL FACILITY,single,02122,"Kenai Peninsula Borough, AK",AK,"5 CHUGACH AVENUE, KENAI, AK 99611",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,KENAI PENINSULA,single,1,ANC,single,1,,,,,,,,,,SEA,single,1,1/28/2009,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/21/2014,single,1,,,,,,,,,,,,,,,,yes,single,1
ALAMCNC,detention,Alamance County Detention Center,conflict,37001,"Alamance County, NC",NC,"109 South Maple Street, Graham, NC 27253",converged,2,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,4,single,1,ALAMANCE,single,1,RDU,single,1,,,,,,,,,,ATL,converged,2,5/15/2006,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2012,single,1,,,,,,,,,,,,,(336) 570-6317,single,1,yes,single,1
ALBANWY,detention,ALBANY COUNTY JAIL,single,56001,"Albany County, WY",WY,"ALBANY COUNTY COURTHOUSE, LARAMIE, WY 82070",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,10,single,1,ALBANY,single,1,DEN,single,1,,,,,,,,,,DEN,single,1,2/6/1992,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2008,single,1,,,,,,,,,,,,,,,,yes,single,1
ALBCONY,detention,ALBANY COUNTY JAIL,single,36001,"Albany County, NY",NY,"840 ALBANY SHAKER ROAD, ALBANY, NY 12211",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,14,single,1,2,single,1,KINGS,single,1,ALB,single,1,,,,,,,,,,BUF,single,1,7/13/1988,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ALBEMVA,detention,ALBEMARLE-CHARLOTTSVILLE,single,51003|51540,"Albemarle County, VA|Charlottesville city, VA",VA,"UNAVAILABLE, CHARLOTTESVILLE, VA 22901",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,4,single,1,ABERMARLE,single,1,HBG,single,1,,,,,,,,,,WAS,single,1,12/11/2013,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/13/2014,single,1,,,,,,,,,,,,,,,,yes,single,1
ALBHOLD,detention,ALBANY HOLD ROOM,single,36001,"Albany County, NY",NY,"1086 TROY-SCHENECTADY RD, LATHAM, NY 12110",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,2,single,1,ALBANY,single,1,,,,HOLD,single,1,,,,,,,BUF,single,1,5/25/2016,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,6/14/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ALEXAVA,detention,ALEXANDRIA CITY JAIL,single,51510,"Alexandria city, VA",VA,"2003 MILL ROAD, ALEXANDRIA, VA 22314",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,,,,4,single,1,ALEXANDRIA CITY,single,1,WAS,single,1,,,,,,,,,,WAS,single,1,11/28/1989,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ALHAMCA,detention,ALHAMBRA CITY JAIL,single,06037,"Los Angeles County, CA",CA,"211 S. FIRST ST., ALHAMBRA, CA 91801",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,,,,9,single,1,LOS ANGELES,single,1,LOS,single,1,,,,,,,,,,LOS,single,1,7/9/2008,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,3/8/2016,single,1,,,,,,,,,,,,,,,,yes,single,1
ALLEGNY,detention,ALLEGANY COUNTY JAIL,single,36003,"Allegany County, NY",NY,"4884 STATE ROUTE 19, BELMONT, NY 14813",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,2,single,1,ALLEGANY,single,1,BUF,single,1,,,,,,,,,,BUF,single,1,11/5/1987,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ALLEGPA,detention,ALLEGHENY COUNTY JAIL,single,42003,"Allegheny County, PA",PA,"950 SECOND AVENUE, PITTSBURGH, PA 15219",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,5,single,1,3,single,1,ALLEGHENY,single,1,PIT,single,1,,,,,,,,,,PHI,single,1,4/2/1987,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2014,single,1,,,,,,,,,,,,,,,,yes,single,1
ALMHOLD,detention,ALAMOSA HOLDROOM,single,08003|08021,"Alamosa County, CO|Conejos County, CO",CO,"1921 STATE STREET, ALAMOSA, CO 81101",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,10,single,1,ALAMOSA,single,1,DEN,single,1,HOLD,single,1,,,,,,,DEN,single,1,2/26/2011,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,10/26/2012,single,1,,,,,,,,,,,,,,,,yes,single,1
AMTHOLD,detention,AMARILLO HOLD ROOM,single,48375|48381,"Potter County, TX|Randall County, TX",TX,"8601 E. AMARILLO BLVD, AMARILLO, TX 79801",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,POTTER,single,1,AMT,single,1,HOLD,single,1,,,,,,,DAL,single,1,3/21/2013,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,5/7/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ANCHOAK,detention,ANCHORAGE CORRECTIONAL COMPLEX,converged,02020,"Anchorage Municipality, AK",AK,"1400 E. 4TH AVE, ANCHORAGE, AK 99501",conflict,3,1.5,single,1,0.2,single,1,0.1,single,1,0.3,single,1,2.1,single,1,USMS IGA,converged,2,DMCP,single,1,4.8,single,1,,,,9,single,1,ANCHORAGE,single,1,ANC,single,1,,,,0,single,1,0,single,1,SEA,converged,3,7/10/1988,single,1,Male,single,1,,,,yes,single,1,0.5,single,1,0.1,single,1,0.1,single,1,,,,Pass,single,1,2024-03-29,single,1,ORSA NDS 2019,single,1,ORSA,single,1,11/4/2017,single,1,0.5,single,1,1.6,single,1,1.2,single,1,1.5,single,1,(907) 269-4100,single,1,yes,single,1
ANDROME,detention,ANDROSCOGGIN COUNTY JAIL,single,23001,"Androscoggin County, ME",ME,"2 TURNER STREET, AUBURN, ME 04210",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,1,single,1,ANDROSCOGGIN,single,1,POM,single,1,,,,,,,,,,BOS,single,1,8/23/1993,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/22/2006,single,1,,,,,,,,,,,,,,,,yes,single,1
ANGELTX,detention,ANGELINA COUNTY JAIL,single,48005,"Angelina County, TX",TX,"C.S.C. LUFKIN C.F.113 N. SECOND ST., LUFKIN, TX 75901",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,ANGELINA,single,1,HOU,single,1,,,,,,,,,,HOU,single,1,3/31/2004,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/7/2004,single,1,,,,,,,,,,,,,,,,yes,single,1
ANJUVMN,detention,ANOKA COUNTY JUVENILE,single,27003,"Anoka County, MN",MN,"7555 4TH AVENUE, LINO LAKES, MN 55014",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,,,,8,single,1,ANOKA,single,1,SPM,single,1,JUVENILE,single,1,,,,,,,SPM,single,1,5/28/1998,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,7/21/2010,single,1,,,,,,,,,,,,,,,,no,single,1
APACHAZ,detention,APACHE COUNTY JAIL,single,04001,"Apache County, AZ",AZ,"370 SOUTH WASHINGTON ST, ST JOHNS, AZ 85936",single,1,,,,,,,,,,,,,,,,USMS IGA,single,1,DMCP,single,1,,,,,,,9,single,1,APACHE,single,1,PHO,single,1,,,,,,,,,,PHO,single,1,4/25/1993,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,9/3/2013,single,1,,,,,,,,,,,,,,,,yes,single,1
